year,tempo
1970,170.827
1970,75.981
1970,119.779
1970,134.375
1970,89.427
1970,135.235
1970,168.854
1970,100.895
1970,134.785
1970,83.256
1970,117.711
1970,75.601
1970,117.759
1970,112.687
1970,107.972
1970,98.57
1970,97.751
1970,144.898
1970,100.972
1970,98.257
1970,148.284
1970,92.578
1970,97.141
1970,120.376
1970,118.751
1970,133.729
1970,75.609
1970,102.71
1970,188.702
1970,119.222
1970,139.087
1970,144.334
1970,136.083
1970,93.379
1970,127.055
1970,129.424
1970,116.697
1970,129.851
1970,118.792
1970,115.252
1970,118.376
1970,137.616
1970,134.432
1970,156.18
1970,82.177
1970,74.798
1970,150.452
1970,113.566
1970,184.723
1970,138.558
1970,163.163
1970,89.761
1970,131.25
1970,138.171
1970,125.507
1970,134.457
1970,118.799
1970,131.52
1970,141.278
1971,143.667
1971,82.771
1971,80.871
1971,130.68
1971,143.259
1971,116.213
1971,91.02
1971,135.394
1971,88.304
1971,133.465
1971,124.952
1971,145.408
1971,84.087
1971,141.225
1971,173.618
1971,77.891
1971,112.175
1971,106.395
1971,90.023
1971,121.278
1971,133.937
1971,140.08
1971,142.339
1971,125.93
1971,121.659
1971,106.702
1971,85.659
1971,104.676
1971,139.65
1971,93.116
1971,76.782
1971,81.435
1971,119.051
1971,100.835
1971,128.888
1971,166.848
1971,79.821
1971,164.963
1971,76.974
1971,106.46
1971,98.182
1971,156.785
1971,90.506
1971,103.609
1971,87.058
1971,121.318
1971,114.666
1971,140.003
1971,81.993
1971,74.163
1971,93.487
1971,119.788
1971,136.262
1971,83.088
1971,169.925
1971,136.363
1971,90.92
1971,124.822
1971,117.6
1971,146.38
1971,136.925
1971,148.201
1971,107.121
1971,102.336
1971,97.363
1971,92.273
1971,94.003
1971,77.002
1971,112.387
1971,138.506
1971,122.014
1971,139.216
1971,104.216
1971,169.738
1971,80.757
1971,133.091
1971,96.042
1971,91.167
1971,98.813
1971,123.221
1971,129.976
1971,142.345
1971,110.828
1971,147.484
1971,80.595
1971,155.589
1971,108.892
1971,154.97
1971,153.041
1971,83.085
1971,96.082
1971,92.422
1971,157.444
1971,144.287
1971,88.36
1971,120.374
1971,89.892
1971,146.733
1971,171.359
1971,107.949
1972,167.037
1972,103.254
1972,146.878
1972,130.707
1972,167.241
1972,184.525
1972,95.014
1972,152.599
1972,140.891
1972,169.184
1972,132.467
1972,96.138
1972,96.82
1972,117.789
1972,164.097
1972,93.265
1972,123.309
1972,187.139
1972,172.327
1972,113.221
1972,114.69
1972,81.711
1972,127.882
1972,85.145
1972,182.878
1972,116.109
1972,156.478
1972,91.173
1972,127.293
1972,176.235
1972,85.634
1972,78.413
1972,78.17
1972,64.283
1972,96.098
1972,126.511
1972,97.76
1972,69.923
1972,149.945
1972,98.49
1972,140.794
1972,88.395
1972,124.173
1972,99.202
1972,81.677
1972,119.364
1972,113.107
1972,111.013
1972,131.657
1972,142.852
1972,172.968
1972,110.829
1972,107.129
1972,83.862
1972,103.875
1972,166.241
1972,64.656
1972,112.303
1972,129.507
1972,92.501
1972,105.911
1972,200.241
1972,100.836
1972,110.701
1972,129.961
1972,78.015
1972,104.411
1972,87.998
1972,154.143
1972,150.298
1972,180.647
1972,109.551
1972,75.462
1972,160.757
1972,123.474
1972,86.448
1972,162.107
1972,105.468
1972,145.39
1972,101.823
1972,109.469
1972,123.273
1972,107.384
1972,106.674
1972,111.122
1972,138.646
1972,78.758
1972,115.091
1972,108.723
1972,107.643
1972,145.178
1972,97.447
1972,113.767
1972,92.781
1972,114.748
1972,118.066
1972,140.645
1972,126.252
